type,part,score
Academic,listening,6.645536266786869
Academic,overall,6.4724223824750595
Academic,reading,6.545374789190893
Academic,speaking,6.39582515066052
Academic,writing,6.049852871132288
General_Training,listening,6.16694589408257
General_Training,overall,6.202133842371976
General_Training,reading,6.015442200591075
General_Training,speaking,6.356541206723301
General_Training,writing,6.026768426239122
