month,mean_value_M,min_value_M,max_value_M,n_years
1,2.811714284272727,0.396990463,6.446645929,11
2,1.5580057797272726,0.347266594,4.806928794,11
3,0.9816449773636363,0.065188944,1.951861678,11
4,0.173407698,0.012909727999999999,0.505661809,11
5,0.2301884681818182,0.002875444,0.621402076,11
6,0.25721414881818183,0.011626499,1.116265223,11
7,0.21187544945454545,0.043248078999999995,0.407298282,11
8,0.37307831663636365,0.025724854999999998,0.776187905,11
9,1.912798736,0.14952686499999998,4.404466062,11
10,4.301449500090909,0.635078174,9.511393377000001,11
11,4.604137876999999,0.858133788,11.107063637,11
12,2.544992450181818,0.474571701,6.322553168,11
