reporter_desc,value_usd,qty_kg,value_M,qty_Mkg,price_per_kg,value_share,qty_share
South Africa,281899679.491,63092347.099999994,281.899679491,63.09234709999999,4.468048700806695,60.31159544802982,72.19692216505507
China,173379189,24218847.841,173.379189,24.218847841,7.158853721624487,37.09396025194611,27.713761698112343
India,11912021.667,28069,11.912021667,0.028069,424.3835429477359,2.5485414990378046,0.03211951213415757
Uruguay,214552.19,49983.7,0.21455219,0.0499837,4.292443136462487,0.04590280098627056,0.057196624698425014
